team,year,rank,points
Rice,2018,112,120.42
Appalachian State,2018,113,120.2
Coastal Carolina,2018,114,120.13
South Alabama,2018,115,120.03
Princeton,2018,116,119.03
Army,2018,117,118.69
Louisiana Monroe,2018,118,116.57
Ball State,2018,119,115.57
Central Michigan,2018,120,111.22
Ohio,2018,121,110.94
Air Force,2018,122,110.51
Yale,2018,123,110.5
New Mexico,2018,124,110.31
New Mexico State,2018,125,109.3
Wyoming,2018,126,109.14
Akron,2018,127,108.81
Old Dominion,2018,128,108.27
UTEP,2018,129,105.24
Miami (OH),2018,130,103.16
Montana State,2018,131,95.13
Idaho,2018,132,90.2
Austin Peay,2018,133,88.36
North Dakota State,2018,134,86.92
Harvard,2018,135,82.06
Buffalo,2018,136,81.31
Liberty,2018,137,80.33
Mercer,2018,138,80.23
Chattanooga,2018,139,80.04
Eastern Washington,2018,140,75.03
Eastern Kentucky,2018,141,73.04
Jacksonville State,2018,142,72.9
Southern Illinois,2018,143,69.52
Tennessee Tech,2018,144,60.57
UT Martin,2018,145,58.52
Pennsylvania,2018,146,57.03
Kennesaw State,2018,147,52.74
Stephen F. Austin,2018,148,50.86
Grambling,2018,149,44.91
Southern Utah,2018,150,44.53
Columbia,2018,151,42.38
Lamar,2018,152,41.65
UC Davis,2018,153,39.09
Alcorn State,2018,154,38.0
Central Arkansas,2018,155,37.36
Howard,2018,156,34.71
Tennessee State,2018,157,34.68
Furman,2018,158,34.46
Sacramento State,2018,159,33.19
Weber State,2018,160,31.5
Stony Brook,2018,161,31.48
Montana,2018,162,30.84
Illinois State,2018,163,30.7
North Dakota,2018,164,30.23
Western Carolina,2018,165,28.54
Murray State,2018,166,28.3
Fordham,2018,168,27.25
Grand Valley State,2018,169,27.19
James Madison,2018,171,26.73
Dartmouth,2018,172,25.43
Sam Houston State,2018,173,25.16
Youngstown State,2018,174,25.11
The Citadel,2018,175,24.53
Houston Christian,2018,176,24.06
Gardner-Webb,2018,177,23.2
Prairie View,2018,178,22.85
Idaho State,2018,179,21.73
Lafayette,2018,180,20.12
Sacred Heart,2018,182,19.08
Missouri State,2018,183,17.93
South Dakota,2018,184,17.69
Campbell,2018,185,17.51
Western Illinois,2018,186,16.91
Villanova,2018,187,16.91
Bethune-Cookman,2018,188,16.91
Northern Iowa,2018,189,16.88
Portland State,2018,190,16.74
Duquesne,2018,191,16.59
Texas Southern,2018,192,16.3
Holy Cross,2018,193,16.26
Alabama State,2018,194,15.57
Samford,2018,195,15.4
Charleston Southern,2018,196,15.0
Northwestern State,2018,197,14.69
Northern Arizona,2018,198,14.61
McNeese,2018,199,14.46
North Carolina A&T,2018,200,14.16
Rhode Island,2018,203,12.15
Lehigh,2018,204,11.91
Elon,2018,206,11.15
Butler,2018,207,11.15
William & Mary,2018,208,11.15
Southeastern Louisiana,2018,209,11.11
Towson,2018,210,10.92
Savannah State,2018,211,10.04
Mississippi Valley State,2018,213,9.53
Florida A&M,2018,214,9.03
Morgan State,2018,215,8.95
Wofford,2018,217,8.91
Jacksonville,2018,218,8.89
East Tennessee State,2018,219,8.53
Richmond,2018,221,8.42
Southeast Missouri State,2018,222,8.02
Monmouth,2018,223,7.98
New Hampshire,2018,224,7.98
Delaware,2018,225,7.98
Alabama A&M,2018,226,7.98
VMI,2018,227,7.98
Colgate,2018,229,6.98
Brown,2018,232,6.41
Cal Poly,2018,233,5.97
Morehead State,2018,235,5.8
South Dakota State,2018,237,4.97
Wagner,2018,238,4.97
Indiana State,2018,239,4.93
Eastern Illinois,2018,240,3.97
South Carolina State,2018,241,3.97
Drake,2018,245,0.97
Cornell,2018,278,-0.04
Alabama,2019,1,317.5
Georgia,2019,2,309.12
Texas,2019,3,287.69
Texas A&M,2019,4,285.46
LSU,2019,5,284.06
Oklahoma,2019,6,279.28
Oregon,2019,7,277.98
Michigan,2019,8,277.15
Florida,2019,9,276.85
Clemson,2019,10,275.55
Auburn,2019,11,271.94
Penn State,2019,12,270.67
Tennessee,2019,13,269.07
Ohio State,2019,14,261.18
Washington,2019,15,259.19
Notre Dame,2019,16,258.56
South Carolina,2019,17,247.26
Nebraska,2019,18,245.1
Florida State,2019,19,244.31
USC,2019,20,243.51
Stanford,2019,21,242.58
Ole Miss,2019,22,238.11
Arkansas,2019,23,237.17
Mississippi State,2019,24,236.6
Purdue,2019,25,224.72
Virginia Tech,2019,26,224.01
Miami,2019,27,222.07
Arizona State,2019,28,219.76
Wisconsin,2019,29,219.51
North Carolina,2019,30,218.57
NC State,2019,31,217.29
Michigan State,2019,32,215.21
TCU,2019,33,210.62
Kentucky,2019,34,203.49
Baylor,2019,35,203.39
Indiana,2019,36,202.63
Missouri,2019,37,202.13
Oklahoma State,2019,38,202.09
Virginia,2019,39,200.89
UCLA,2019,40,199.61
Iowa,2019,41,199.36
Utah,2019,42,196.61
California,2019,43,196.48
Colorado,2019,44,194.55
Minnesota,2019,45,194.48
Iowa State,2019,46,192.25
Maryland,2019,47,192.18
West Virginia,2019,48,191.83
Duke,2019,49,191.38
Boise State,2019,50,189.93
Georgia Tech,2019,51,188.28
Northwestern,2019,52,188.14
Illinois,2019,53,184.37
Arizona,2019,54,182.67
Syracuse,2019,55,182.67
Vanderbilt,2019,56,182.42
Wake Forest,2019,57,182.26
Pittsburgh,2019,58,181.53
UCF,2019,59,179.69
Florida Atlantic,2019,60,178.99
Texas Tech,2019,61,177.69
Kansas State,2019,62,177.4
Boston College,2019,63,177.26
Rutgers,2019,64,174.33
Washington State,2019,65,174.14
Oregon State,2019,66,172.88
Memphis,2019,67,172.4
SMU,2019,68,167.28
Louisville,2019,69,165.93
Kansas,2019,70,165.84
Marshall,2019,71,165.42
Houston,2019,72,165.39
Toledo,2019,73,162.01
UAB,2019,74,160.48
North Texas,2019,75,158.78
Louisiana,2019,76,158.45
South Florida,2019,77,158.44
East Carolina,2019,78,158.4
Cincinnati,2019,79,158.17
Troy,2019,80,157.59
BYU,2019,81,156.76
Southern Mississippi,2019,82,156.39
Louisiana Tech,2019,83,155.46
Colorado State,2019,84,155.22
Middle Tennessee,2019,85,154.43
Western Kentucky,2019,86,153.89
Fresno State,2019,87,153.5
Florida International,2019,88,152.57
Miami (OH),2019,89,151.13
Utah State,2019,90,149.92
San Diego State,2019,91,149.19
Western Michigan,2019,92,148.7
Nevada,2019,93,145.27
Tulane,2019,94,144.82
Arkansas State,2019,95,143.36
UT San Antonio,2019,96,142.31
Wyoming,2019,97,140.75
Georgia State,2019,98,140.37
Army,2019,99,139.75
UNLV,2019,100,139.57
Appalachian State,2019,101,139.0
Kent State,2019,102,138.12
Ohio,2019,103,138.11
Central Michigan,2019,104,137.96
Temple,2019,105,136.56
Buffalo,2019,106,134.64
Air Force,2019,107,134.5
Northern Illinois,2019,108,134.16
Tulsa,2019,109,133.88
Portland State,2019,110,132.85
Rice,2019,111,132.03
UTEP,2019,112,131.98
UMass,2019,113,130.79
Akron,2019,114,130.23
Hawai'i,2019,115,129.53
Old Dominion,2019,116,128.31
Connecticut,2019,117,127.68
San José State,2019,118,127.53
New Mexico,2019,119,126.28
New Mexico State,2019,120,125.55
Georgia Southern,2019,121,125.24
Coastal Carolina,2019,122,125.06
Eastern Michigan,2019,123,124.99
Navy,2019,124,124.39
Ball State,2019,125,122.89
South Alabama,2019,126,122.8
Harvard,2019,127,121.09
Louisiana Monroe,2019,128,119.38
Bowling Green,2019,129,115.37
Princeton,2019,130,115.29
Stephen F. Austin,2019,131,113.58
Charlotte,2019,132,112.69
Texas State,2019,133,111.1
Yale,2019,134,110.17
Liberty,2019,135,108.39
Central Arkansas,2019,136,106.84
Idaho,2019,137,99.19
Eastern Washington,2019,138,94.76
Mercer,2019,139,92.53
Eastern Kentucky,2019,140,90.32
UC Davis,2019,141,90.14
North Dakota State,2019,142,86.93
Northern Arizona,2019,144,84.4
Jacksonville State,2019,145,79.23
Idaho State,2019,146,72.23
James Madison,2019,147,70.12
Montana,2019,148,69.85
Illinois State,2019,149,69.17
Kennesaw State,2019,150,69.12
Montana State,2019,151,66.92
Western Carolina,2019,152,65.38
Northern Iowa,2019,153,62.42
Southern Utah,2019,155,58.28
Texas Southern,2019,156,56.43
UT Martin,2019,157,55.08
Pennsylvania,2019,158,54.99
Murray State,2019,159,54.92
Dartmouth,2019,160,54.85
Holy Cross,2019,161,51.84
Southern,2019,162,51.2
Sam Houston State,2019,163,48.49
Houston Christian,2019,164,47.53
Austin Peay,2019,165,46.22
Georgetown,2019,166,45.58
Howard,2019,168,43.12
Grand Valley State,2019,169,41.63
McNeese,2019,170,39.93
Weber State,2019,171,39.26
Eastern Illinois,2019,173,37.39
Lamar,2019,175,35.77
Delaware,2019,176,35.61
Richmond,2019,177,35.42
Chattanooga,2019,178,34.93
Cal Poly,2019,179,34.79
Furman,2019,180,34.69
Nicholls,2019,181,33.85
Tennessee State,2019,183,33.09
East Tennessee State,2019,184,32.91
New Hampshire,2019,185,32.54
Fordham,2019,186,32.49
Indiana State,2019,187,32.33
Morgan State,2019,188,31.01
Villanova,2019,189,30.97
Wofford,2019,190,30.95
Prairie View,2019,191,30.85
Southeastern Louisiana,2019,192,30.71
Sacramento State,2019,193,29.38
Southern Illinois,2019,194,29.2
North Dakota,2019,196,27.5
Northern Colorado,2019,197,27.42
San Diego,2019,198,27.37
North Carolina Central,2019,199,24.99
South Dakota,2019,200,24.59
Southeast Missouri State,2019,201,24.44
Stony Brook,2019,202,24.3
Maine,2019,205,22.07
Alcorn State,2019,206,21.58
Missouri State,2019,207,21.02
Rhode Island,2019,210,20.03
North Carolina A&T,2019,211,19.69
Northwestern State,2019,212,19.61
Samford,2019,213,18.9
South Dakota State,2019,214,17.82
The Citadel,2019,216,17.36
Arkansas-Pine Bluff,2019,218,16.4
Elon,2019,220,16.08
William & Mary,2019,221,15.95
Bucknell,2019,222,14.96
Youngstown State,2019,225,13.33
Colgate,2019,226,13.03
Monmouth,2019,228,11.98
Alabama A&M,2019,229,11.61
Bethune-Cookman,2019,230,11.54
Hampton,2019,231,11.0
Grambling,2019,232,10.64
Florida A&M,2019,234,9.93
Charleston Southern,2019,235,9.03
Albany,2019,236,8.92
Lafayette,2019,237,8.42
Alabama State,2019,238,7.97
Duquesne,2019,240,7.52
Gardner-Webb,2019,241,6.3
Tennessee Tech,2019,247,4.96
Georgia,2020,1,313.34
Alabama,2020,2,310.44
Clemson,2020,3,309.73
LSU,2020,4,300.54
Ohio State,2020,5,295.08
Texas A&M,2020,6,289.49
Auburn,2020,7,274.6
Florida,2020,8,272.99
Texas,2020,9,270.93
Tennessee,2020,10,261.5
Oklahoma,2020,11,259.6
Oregon,2020,12,259.49
Miami,2020,13,256.71
Michigan,2020,14,256.34
Penn State,2020,15,256.05
Washington,2020,16,252.35
Notre Dame,2020,17,251.45
South Carolina,2020,18,250.12
North Carolina,2020,19,246.65
Nebraska,2020,20,240.27
Stanford,2020,21,238.62
Florida State,2020,22,238.41
Kentucky,2020,23,229.87
Arizona State,2020,24,229.47
Wisconsin,2020,25,225.54
Georgia Tech,2020,26,222.73
Mississippi State,2020,27,220.24
TCU,2020,28,215.88
Utah,2020,29,212.32
Arkansas,2020,30,212.16
Maryland,2020,31,209.67
UCLA,2020,32,208.42
Purdue,2020,33,208.38
Ole Miss,2020,34,204.07
Iowa,2020,35,203.81
Colorado,2020,36,203.17
West Virginia,2020,37,199.77
Minnesota,2020,38,199.35
California,2020,39,198.0
Cincinnati,2020,40,194.95
NC State,2020,41,194.78
Louisville,2020,42,194.46
Michigan State,2020,43,193.32
Pittsburgh,2020,44,192.65
Oklahoma State,2020,45,192.35
Iowa State,2020,46,190.9
Northwestern,2020,47,190.69
Virginia,2020,48,185.57
Texas Tech,2020,49,183.17
Missouri,2020,50,182.85
Kansas State,2020,51,182.46
Vanderbilt,2020,52,182.21
Oregon State,2020,53,182.12
Baylor,2020,54,181.12
USC,2020,55,181.01
Washington State,2020,56,179.28
Kansas,2020,57,178.97
Indiana,2020,58,177.39
Syracuse,2020,59,175.88
Wake Forest,2020,60,173.82
Duke,2020,61,171.72
Arizona,2020,62,170.89
Boston College,2020,63,170.36
Rutgers,2020,64,170.14
Boise State,2020,65,167.92
Tulane,2020,66,165.84
Memphis,2020,67,165.67
North Texas,2020,68,164.56
Toledo,2020,69,164.2
East Carolina,2020,70,163.06
UCF,2020,71,162.97
Virginia Tech,2020,72,162.89
Florida Atlantic,2020,73,162.51
Florida International,2020,74,162.27
Louisiana Tech,2020,75,162.08
Southern Mississippi,2020,76,161.52
UNLV,2020,77,160.84
BYU,2020,78,159.91
Louisiana,2020,79,158.34
Western Kentucky,2020,80,157.37
SMU,2020,81,156.95
Houston,2020,82,155.32
Appalachian State,2020,83,154.59
Troy,2020,84,154.47
Bowling Green,2020,85,154.4
Western Michigan,2020,86,153.11
Illinois,2020,87,152.9
Charlotte,2020,88,152.55
Miami (OH),2020,89,150.61
Middle Tennessee,2020,90,150.6
Northern Illinois,2020,91,149.69
Arkansas State,2020,92,148.75
Rice,2020,93,147.7
Old Dominion,2020,94,146.75
Liberty,2020,95,146.5
Marshall,2020,96,146.14
Temple,2020,97,145.3
Georgia Southern,2020,98,145.22
Texas State,2020,99,145.19
UMass,2020,100,145.02
South Florida,2020,101,142.97
Colorado State,2020,102,142.8
UAB,2020,103,142.57
San Diego State,2020,104,142.57
UT San Antonio,2020,105,142.53
New Mexico,2020,106,142.34
Air Force,2020,107,142.11
Kent State,2020,108,141.52
South Alabama,2020,109,140.54
Georgia State,2020,110,140.52
Army,2020,111,139.43
Tulsa,2020,112,138.25
Wyoming,2020,113,138.13
San José State,2020,114,137.42
Eastern Michigan,2020,115,136.77
Coastal Carolina,2020,116,136.61
Utah State,2020,117,134.5
Connecticut,2020,118,134.27
Nevada,2020,119,132.46
Louisiana Monroe,2020,120,132.3
Fresno State,2020,121,131.51
Ball State,2020,122,131.5
Central Michigan,2020,123,130.86
Princeton,2020,124,129.51
Akron,2020,125,129.48
Navy,2020,126,128.76
Hawai'i,2020,127,124.35
Eastern Washington,2020,128,117.96
Ohio,2020,129,116.96
Buffalo,2020,130,114.94
UTEP,2020,131,114.47
New Mexico State,2020,132,108.54
Montana State,2020,133,101.69
Idaho,2020,134,96.43
Cal Poly,2020,135,94.88
UC Davis,2020,136,93.33
Sacramento State,2020,137,89.88
Northern Arizona,2020,139,86.06
Harvard,2020,140,77.67
North Dakota State,2020,141,77.43
Stephen F. Austin,2020,142,77.21
Villanova,2020,145,69.37
Northern Iowa,2020,146,69.28
Yale,2020,147,66.61
Dartmouth,2020,148,64.97
Columbia,2020,149,62.05
Central Arkansas,2020,150,61.89
Eastern Kentucky,2020,151,60.5
Rhode Island,2020,152,57.83
Illinois State,2020,153,56.34
Kennesaw State,2020,154,55.15
Montana,2020,155,51.3
Pennsylvania,2020,157,50.08
Furman,2020,158,43.15
Eastern Illinois,2020,159,42.77
Portland State,2020,161,41.99
Holy Cross,2020,162,41.97
Georgetown,2020,163,40.93
Missouri State,2020,164,39.43
Idaho State,2020,165,39.12
Elon,2020,166,36.99
Northern Colorado,2020,167,36.46
East Tennessee State,2020,168,35.94
James Madison,2020,170,35.08
Davidson,2020,172,34.64
Southeastern Louisiana,2020,173,34.04
Tennessee State,2020,175,32.21
South Dakota,2020,176,29.87
Western Carolina,2020,177,29.45
Mercer,2020,179,28.8
Brown,2020,180,28.57
San Diego,2020,182,27.65
Youngstown State,2020,183,27.25
Sam Houston State,2020,184,26.54
UT Martin,2020,186,24.03
Western Illinois,2020,188,23.72
Hampton,2020,190,22.89
Stony Brook,2020,192,22.7
Grambling,2020,193,22.25
South Dakota State,2020,194,22.07
Fordham,2020,195,21.45
Samford,2020,196,21.2
Houston Christian,2020,198,20.55
Delaware,2020,199,20.1
VMI,2020,200,20.05
Bucknell,2020,201,19.97
Wofford,2020,203,19.41
Austin Peay,2020,204,17.16
Indiana State,2020,208,16.73
Arkansas-Pine Bluff,2020,209,16.53
Jacksonville State,2020,210,16.49
Cornell,2020,211,15.89
North Dakota,2020,218,12.79
North Carolina Central,2020,219,12.65
Alcorn State,2020,220,12.65
North Carolina A&T,2020,225,11.52
Campbell,2020,228,10.98
Richmond,2020,229,9.98
Southern Illinois,2020,230,9.91
Bryant,2020,232,8.98
Southeast Missouri State,2020,233,8.97
Texas Southern,2020,236,8.97
Lehigh,2020,239,6.97
Lafayette,2020,240,6.97
Marist,2020,242,6.3
Colgate,2020,245,4.97
Alabama,2021,1,327.91
Ohio State,2021,2,309.49
Georgia,2021,3,294.55
LSU,2021,4,291.37
Clemson,2021,5,291.2
Oregon,2021,6,287.38
Texas A&M,2021,7,285.35
USC,2021,8,280.72
Notre Dame,2021,9,269.15
Michigan,2021,10,268.77
Oklahoma,2021,11,267.92
Miami,2021,12,263.12
Florida,2021,13,261.62
North Carolina,2021,14,253.91
Wisconsin,2021,15,240.8
Tennessee,2021,16,240.4
Texas,2021,17,237.09
Ole Miss,2021,18,234.56
Maryland,2021,19,230.29
Nebraska,2021,20,216.5
Penn State,2021,21,216.43
Florida State,2021,22,214.97
Iowa,2021,23,213.89
Arkansas,2021,24,213.19
Mississippi State,2021,25,210.6
Pittsburgh,2021,26,210.45
Missouri,2021,27,210.28
California,2021,28,209.2
UCLA,2021,29,206.5
Auburn,2021,30,205.63
Virginia,2021,31,205.33
Kentucky,2021,32,205.02
Utah,2021,33,203.23
NC State,2021,34,202.42
Washington,2021,35,201.78
Boston College,2021,36,201.66
Minnesota,2021,37,199.4
Louisville,2021,38,198.01
Oklahoma State,2021,39,196.26
West Virginia,2021,40,195.07
Rutgers,2021,41,191.67
Cincinnati,2021,42,190.66
Michigan State,2021,43,190.6
Baylor,2021,44,190.18
Virginia Tech,2021,45,189.84
Memphis,2021,46,187.31
Georgia Tech,2021,47,186.82
Arizona State,2021,48,185.98
Vanderbilt,2021,49,184.46
Northwestern,2021,50,184.3
Stanford,2021,51,183.58
Kansas,2021,52,183.13
SMU,2021,53,181.61
Indiana,2021,54,177.78
UCF,2021,55,177.69
Kansas State,2021,56,176.98
Syracuse,2021,57,176.5
Duke,2021,58,176.16
Iowa State,2021,59,175.58
Washington State,2021,60,172.58
TCU,2021,61,171.83
San Diego State,2021,62,169.98
South Florida,2021,63,167.63
Texas Tech,2021,64,167.13
Colorado,2021,65,167.11
Wake Forest,2021,66,165.75
Toledo,2021,67,163.18
UNLV,2021,68,161.89
Appalachian State,2021,69,161.14
Boise State,2021,70,161.13
BYU,2021,71,159.77
Purdue,2021,72,159.72
Illinois,2021,73,159.12
Fresno State,2021,74,159.11
Arizona,2021,75,157.25
South Carolina,2021,76,157.05
Tulane,2021,77,156.56
UT San Antonio,2021,78,154.8
Louisiana,2021,79,154.78
North Texas,2021,80,153.89
Houston,2021,81,153.47
Florida Atlantic,2021,82,153.21
Florida International,2021,83,152.13
Coastal Carolina,2021,84,150.67
Jackson State,2021,85,147.9
Nevada,2021,86,146.32
Central Michigan,2021,87,146.12
Miami (OH),2021,88,146.03
Colorado State,2021,89,144.67
Air Force,2021,90,144.16
Northern Illinois,2021,91,142.59
Georgia Southern,2021,92,141.76
Rice,2021,93,141.39
New Mexico,2021,94,140.75
Ball State,2021,95,140.07
East Carolina,2021,96,139.28
Western Michigan,2021,97,139.11
Buffalo,2021,98,137.78
Ohio,2021,99,137.6
Old Dominion,2021,100,135.74
Charlotte,2021,101,134.83
Georgia State,2021,102,134.55
Bowling Green,2021,103,133.73
Troy,2021,104,133.65
Temple,2021,105,132.83
Arkansas State,2021,106,132.61
Navy,2021,107,131.51
Oregon State,2021,108,131.45
Army,2021,109,131.27
Wyoming,2021,110,130.41
Liberty,2021,111,129.14
Eastern Michigan,2021,112,128.54
Louisiana Monroe,2021,113,127.64
New Mexico State,2021,114,126.9
Connecticut,2021,115,125.11
UAB,2021,116,123.44
UMass,2021,117,121.74
Kent State,2021,118,119.36
Akron,2021,119,113.25
San José State,2021,120,112.81
Louisiana Tech,2021,121,108.45
South Alabama,2021,122,107.68
Middle Tennessee,2021,123,107.22
Southern Mississippi,2021,124,104.36
Marshall,2021,125,101.55
Tulsa,2021,126,97.89
Hawai'i,2021,127,90.15
Northern Arizona,2021,128,80.92
Harvard,2021,129,70.08
Princeton,2021,130,69.11
Cal Poly,2021,131,62.42
Idaho,2021,132,62.38
Yale,2021,133,61.37
UTEP,2021,134,60.62
Utah State,2021,135,55.32
Western Kentucky,2021,136,49.62
Eastern Washington,2021,138,48.13
Pennsylvania,2021,139,47.87
James Madison,2021,140,46.14
Lamar,2021,141,39.38
North Carolina A&T,2021,142,38.9
Northern Iowa,2021,143,37.22
Stephen F. Austin,2021,144,36.77
UC Davis,2021,145,31.22
Central Arkansas,2021,146,30.3
Georgetown,2021,147,29.42
Samford,2021,148,28.48
Howard,2021,149,27.3
Morgan State,2021,150,26.96
South Dakota,2021,151,25.25
Montana State,2021,152,24.7
Southern Utah,2021,153,24.64
Grambling,2021,154,24.49
Austin Peay,2021,155,24.23
Tennessee Tech,2021,156,21.96
Kennesaw State,2021,157,20.61
Charleston Southern,2021,158,19.5
Columbia,2021,159,18.29
Jacksonville State,2021,160,16.83
Sacramento State,2021,161,16.08
Brown,2021,162,15.57
Alabama A&M,2021,163,15.36
Lehigh,2021,164,14.77
Prairie View,2021,165,14.18
North Dakota,2021,166,13.76
Sam Houston State,2021,167,13.67
William & Mary,2021,168,13.3
McNeese,2021,169,13.17
Tennessee State,2021,170,13.15
Southern Illinois,2021,172,12.65
Western Carolina,2021,173,12.61
Maine,2021,174,12.51
Chattanooga,2021,175,12.15
Duquesne,2021,176,12.14
Texas Southern,2021,177,11.04
Towson,2021,178,10.54
Villanova,2021,179,10.53
Northwestern State,2021,180,10.53
Holy Cross,2021,181,10.14
Lafayette,2021,182,10.14
Texas State,2021,183,9.46
San Diego,2021,184,9.32
Gardner-Webb,2021,185,8.92
Rhode Island,2021,186,8.92
Fordham,2021,187,8.69
Northern Colorado,2021,188,8.31
Albany,2021,189,7.31
Montana,2021,190,7.3
Portland State,2021,191,7.3
Campbell,2021,192,6.8
Wofford,2021,193,5.8
Texas A&M,2022,1,333.13
Alabama,2022,2,322.25
Georgia,2022,3,318.34
Ohio State,2022,4,300.95
Texas,2022,5,289.04
Penn State,2022,6,278.66
Notre Dame,2022,7,275.44
Oklahoma,2022,8,266.73
Michigan,2022,9,262.13
Clemson,2022,10,260.87
North Carolina,2022,11,258.5
LSU,2022,12,245.76
Oregon,2022,13,243.37
Kentucky,2022,14,240.16
Missouri,2022,15,236.92
Miami,2022,16,235.03
Florida,2022,17,232.99
Tennessee,2022,18,232.77
Stanford,2022,19,229.74
Florida State,2022,20,229.46
Auburn,2022,21,229.35
Arizona,2022,22,224.38
Ole Miss,2022,23,222.38
Michigan State,2022,24,221.83
South Carolina,2022,25,220.16
Indiana,2022,26,219.8
Mississippi State,2022,27,219.45
Arkansas,2022,28,217.69
Oklahoma State,2022,29,217.39
Iowa,2022,30,215.05
Maryland,2022,31,213.62
Vanderbilt,2022,32,212.11
Rutgers,2022,33,210.07
Utah,2022,34,209.71
West Virginia,2022,35,209.05
Virginia Tech,2022,36,208.77
Baylor,2022,37,208.03
Purdue,2022,38,206.4
Iowa State,2022,39,205.08
Boston College,2022,40,202.55
Nebraska,2022,41,198.64
Cincinnati,2022,42,197.75
Texas Tech,2022,43,197.4
Wisconsin,2022,44,194.42
TCU,2022,45,194.07
Illinois,2022,46,192.59
Colorado,2022,47,192.38
Northwestern,2022,48,191.62
Minnesota,2022,49,189.38
Houston,2022,50,187.64
Louisville,2022,51,187.58
Duke,2022,52,186.78
UCF,2022,53,186.37
Georgia Tech,2022,54,184.81
BYU,2022,55,181.5
Oregon State,2022,56,181.41
Marshall,2022,57,176.47
Memphis,2022,58,176.39
California,2022,59,175.53
Washington State,2022,60,175.48
UCLA,2022,61,175.37
Boise State,2022,62,174.52
Kansas State,2022,63,173.32
NC State,2022,64,171.26
San Diego State,2022,65,168.39
Virginia,2022,66,166.85
Arkansas State,2022,67,166.63
Syracuse,2022,68,166.16
Coastal Carolina,2022,69,165.67
USC,2022,70,165.48
Wake Forest,2022,71,164.19
Fresno State,2022,72,163.46
UT San Antonio,2022,73,162.04
Tulane,2022,74,160.73
San José State,2022,75,157.03
Pittsburgh,2022,76,153.09
Miami (OH),2022,77,152.97
Colorado State,2022,78,152.84
Southern Mississippi,2022,79,152.38
Utah State,2022,80,152.31
Buffalo,2022,81,147.86
SMU,2022,82,146.38
Appalachian State,2022,83,144.67
Central Michigan,2022,84,144.51
East Carolina,2022,85,143.29
UAB,2022,86,142.49
Northern Illinois,2022,87,142.15
Louisiana Tech,2022,88,140.27
Campbell,2022,89,137.24
Kent State,2022,90,136.64
South Florida,2022,91,136.48
Toledo,2022,92,134.89
Wyoming,2022,93,133.87
Western Kentucky,2022,94,129.6
Temple,2022,95,129.57
Washington,2022,96,129.55
Ball State,2022,97,127.25
Liberty,2022,98,126.37
New Mexico,2022,99,124.26
Georgia State,2022,100,124.06
UNLV,2022,102,121.78
Arizona State,2022,103,120.17
South Alabama,2022,104,119.39
Western Michigan,2022,105,119.04
Old Dominion,2022,106,118.85
Charlotte,2022,107,117.06
New Mexico State,2022,108,117.0
Bowling Green,2022,109,115.82
Georgia Southern,2022,110,115.78
Louisiana,2022,111,115.71
Tulsa,2022,112,113.34
Connecticut,2022,113,112.35
Air Force,2022,114,110.12
Nevada,2022,115,108.19
Kansas,2022,116,106.28
UMass,2022,117,105.95
North Texas,2022,118,102.95
Rice,2022,119,102.87
Middle Tennessee,2022,120,102.04
Sam Houston State,2022,121,101.32
Jackson State,2022,122,100.92
Grambling,2022,123,96.14
Florida Atlantic,2022,124,94.73
Central Arkansas,2022,125,90.76
Hawai'i,2022,126,84.97
Akron,2022,127,81.7
Eastern Michigan,2022,128,77.97
UTEP,2022,129,77.74
Troy,2022,130,65.19
Princeton,2022,131,56.25
Ohio,2022,132,53.67
Texas State,2022,133,51.34
Louisiana Monroe,2022,134,49.36
North Dakota State,2022,135,46.49
Harvard,2022,136,46.06
Murray State,2022,137,41.85
Navy,2022,138,41.48
Grand Valley State,2022,139,36.11
Florida A&M,2022,140,32.58
Northern Arizona,2022,141,32.26
Youngstown State,2022,142,30.85
Austin Peay,2022,143,30.6
South Carolina State,2022,144,28.97
Yale,2022,145,28.75
Southeastern Louisiana,2022,146,28.48
Idaho,2022,148,27.31
Northern Iowa,2022,149,26.87
Jacksonville State,2022,150,25.39
Southern Illinois,2022,151,25.26
Eastern Washington,2022,152,24.93
Western Carolina,2022,153,24.04
Portland State,2022,154,23.86
Chattanooga,2022,155,23.66
James Madison,2022,156,21.94
Eastern Kentucky,2022,157,19.26
Army,2022,158,18.34
Georgetown,2022,159,17.56
East Tennessee State,2022,160,16.89
Northwestern State,2022,161,15.78
Tennessee Tech,2022,162,14.17
Howard,2022,162,14.17
Missouri State,2022,165,13.67
Western Illinois,2022,167,13.0
UC Davis,2022,168,12.81
Monmouth,2022,169,12.67
Sacramento State,2022,169,12.67
Lehigh,2022,171,12.56
Pennsylvania,2022,172,12.28
Weber State,2022,173,12.17
Villanova,2022,173,12.17
Furman,2022,173,12.17
Southeast Missouri State,2022,177,11.67
Lamar,2022,177,11.67
North Carolina A&T,2022,179,11.17
Alabama A&M,2022,179,11.17
North Carolina Central,2022,179,11.17
Richmond,2022,182,10.89
Rhode Island,2022,183,10.67
UT Martin,2022,184,10.44
Towson,2022,185,10.06
The Citadel,2022,186,9.89
Stephen F. Austin,2022,188,9.44
Bucknell,2022,189,8.83
Montana State,2022,190,8.33
Alabama,2023,1,328.0
Georgia,2023,2,315.68
Texas,2023,3,306.31
Oklahoma,2023,4,289.03
Ohio State,2023,5,288.98
LSU,2023,6,288.7
Miami,2023,7,284.64
USC,2023,8,280.44
